iter	Passed	Remaining
697	4144	2980
698	4151	2975
699	4155	2968
700	4160	2961
701	4166	2955
702	4171	2949
703	4176	2942
704	4182	2936
705	4186	2929
706	4191	2922
707	4198	2917
708	4203	2911
709	4209	2904
710	4215	2899
711	4220	2892
712	4225	2886
713	4231	2880
714	4236	2873
715	4241	2867
716	4248	2861
717	4253	2855
718	4259	2849
719	4265	2843
720	4270	2837
721	4276	2831
722	4281	2824
723	4292	2822
724	4297	2815
725	4301	2808
726	4306	2802
727	4313	2796
728	4317	2789
729	4323	2783
730	4328	2776
731	4332	2769
732	4337	2763
733	4344	2758
734	4350	2752
735	4356	2746
736	4361	2739
737	4366	2733
738	4370	2726
739	4377	2721
740	4381	2714
741	4387	2707
742	4394	2702
743	4398	2696
744	4405	2690
745	4409	2683
746	4414	2676
747	4419	2670
748	4425	2664
749	4430	2658
750	4435	2651
751	4443	2647
752	4447	2639
753	4451	2633
754	4458	2627
755	4463	2621
756	4467	2614
757	4474	2608
758	4478	2602
759	4482	2595
760	4489	2590
761	4494	2583
762	4499	2577
763	4506	2571
764	4510	2564
765	4514	2558
766	4521	2552
767	4526	2546
768	4530	2539
769	4536	2533
770	4541	2527
771	4546	2520
772	4552	2514
773	4557	2508
774	4562	2501
775	4568	2495
776	4572	2489
777	4577	2482
778	4581	2476
779	4589	2471
780	4594	2464
781	4601	2459
782	4606	2453
783	4611	2446
784	4616	2440
785	4621	2434
786	4626	2427
787	4631	2421
788	4637	2415
789	4641	2409
790	4646	2402
791	4653	2397
792	4658	2391
793	4663	2384
794	4670	2379
795	4675	2373
796	4681	2367
797	4687	2361
798	4692	2355
799	4699	2349
800	4705	2343
801	4710	2337
802	4717	2332
803	4722	2326
804	4728	2320
805	4735	2314
806	4740	2308
807	4747	2303
808	4752	2297
809	4757	2290
810	4764	2285
811	4769	2278
812	4773	2272
813	4779	2266
814	4785	2260
815	4789	2253
816	4794	2247
817	4800	2241
818	4806	2235
819	4811	2229
820	4818	2224
821	4822	2217
822	4828	2211
823	4833	2205
824	4838	2199
825	4842	2192
826	4849	2187
827	4853	2180
828	4858	2174
829	4865	2168
830	4870	2162
831	4874	2156
832	4880	2150
833	4885	2143
834	4889	2137
835	4896	2132
836	4901	2125
837	4905	2119
838	4912	2113
839	4917	2107
840	4922	2101
841	4929	2095
842	4934	2089
843	4938	2083
844	4944	2077
845	4948	2070
